model,target,feature,value,direction
LinearRegression,suicide_rate,depression_experience_rate,0.15823878857874565,+
LinearRegression,suicide_rate,perceived_stress_rate,0.6596258570741493,+
LinearRegression,suicide_rate,high_risk_drinking_rate,0.09492130766280704,+
LinearRegression,suicide_rate,unmet_medical_need_rate,-0.7195762684517764,-
LinearRegression,suicide_rate,unemployment_rate,1.5059479820885864,+
LinearRegression,suicide_rate,elderly_population_rate,10.491449219152026,+
LinearRegression,suicide_rate,old_dependency_ratio,-6.335419455251665,-
LinearRegression,suicide_rate,single_households,-0.00012078683567141882,-
LinearRegression,suicide_rate,basic_livelihood_recipients,0.0003536426258734081,+
LinearRegression,suicide_rate,welfare_budget_per_capita,0.005923408172413168,+
LinearRegression,suicide_rate,public_sports_facilities_count,-0.011331277653381114,-
LinearRegression,suicide_rate,parks_count,0.040683840194601036,+
LinearRegression,suicide_rate,libraries_count,-0.20077963136410604,-
LinearRegression,suicide_rate,medical_institutions_count,0.004468110337614911,+
LinearRegression,suicide_rate,health_promotion_centers_count,-0.5739147929622536,-
LinearRegression,suicide_rate,elderly_leisure_welfare_facilities_count,-0.020369762304940576,-
LinearRegression,suicide_rate,in_home_elderly_welfare_facilities_count,-0.005731128239360542,-
LinearRegression,suicide_rate,cultural_satisfaction,4.6099272025621065,+
RandomForestRegressor,suicide_rate,depression_experience_rate,0.03291954792976673,
RandomForestRegressor,suicide_rate,perceived_stress_rate,0.019773521068003175,
RandomForestRegressor,suicide_rate,high_risk_drinking_rate,0.016577982479551254,
RandomForestRegressor,suicide_rate,unmet_medical_need_rate,0.03448673349644113,
RandomForestRegressor,suicide_rate,unemployment_rate,0.009723585245472443,
RandomForestRegressor,suicide_rate,elderly_population_rate,0.025155870558372255,
RandomForestRegressor,suicide_rate,old_dependency_ratio,0.04260652954486161,
RandomForestRegressor,suicide_rate,single_households,0.02453277071455296,
RandomForestRegressor,suicide_rate,basic_livelihood_recipients,0.04845170294533271,
RandomForestRegressor,suicide_rate,welfare_budget_per_capita,0.08326205686407419,
RandomForestRegressor,suicide_rate,public_sports_facilities_count,0.007167323409087275,
RandomForestRegressor,suicide_rate,parks_count,0.04381669740751854,
RandomForestRegressor,suicide_rate,libraries_count,0.19900247499958965,
RandomForestRegressor,suicide_rate,medical_institutions_count,0.08007374951890557,
RandomForestRegressor,suicide_rate,health_promotion_centers_count,0.003986492025911282,
RandomForestRegressor,suicide_rate,elderly_leisure_welfare_facilities_count,0.15569468892471403,
RandomForestRegressor,suicide_rate,in_home_elderly_welfare_facilities_count,0.01938096323541428,
RandomForestRegressor,suicide_rate,cultural_satisfaction,0.153387309632431,
