district,Need_Index,rank
관악구,79.68057128170216,1
강북구,74.8883812556889,2
노원구,74.52262636357821,3
금천구,66.7893220290103,4
중랑구,66.01185426472342,5
도봉구,65.66837979597891,6
광진구,64.22900773768791,7
강서구,61.92939152433024,8
서대문구,60.911185215461174,9
종로구,59.32312460312082,10
동작구,55.345653463298746,11
구로구,54.74921261767081,12
송파구,54.53381337188538,13
강동구,54.00264860505501,14
은평구,53.630592462338065,15
성북구,53.51754398882979,16
성동구,47.822375872701315,17
마포구,46.42885619656367,18
강남구,45.575308646311235,19
양천구,43.653833791317226,20
동대문구,33.21935970669248,21
중구,33.2075055990285,22
용산구,32.85407956088231,23
영등포구,30.969509910926106,24
서초구,18.017163921313653,25
