"자치구별(1)",자치구별(2),2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"자치구별(1)",자치구별(2),계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
"자치구별(1)",자치구별(2),소계,소계,종합병원,종합병원,병원,병원,의원,의원,부속병의원,부속병의원,요양병원,요양병원,노인전문병원,노인전문병원,결핵병원,결핵병원,한센병원,한센병원,정신병원,정신병원,치과병원,치과병원,치과의원,치과의원,한방병원,한방병원,한방의원,한방의원,조산원,조산원
"자치구별(1)",자치구별(2),병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수
"서울시",소계,19189,88458,58,32410,223,16494,10054,9024,71,1,105,19839,2,553,1,368,-,-,13,2721,56,73,4866,56,89,5524,3648,1388,3,7
"서울시",종로구,477,3527,4,2832,2,245,203,98,10,-,1,96,-,-,-,-,-,-,-,-,1,40,141,-,2,216,113,-,-,-
"서울시",중구,599,931,1,499,3,239,284,156,16,-,-,-,-,-,-,-,-,-,-,-,5,-,192,-,-,-,97,36,1,1
"서울시",용산구,324,810,1,690,1,48,158,61,2,-,-,-,-,-,-,-,-,-,-,-,-,-,98,-,-,-,63,10,1,1
"서울시",성동구,481,1771,2,897,4,272,251,91,-,-,3,502,-,-,-,-,-,-,-,-,1,-,125,-,-,-,95,9,-,-
"서울시",광진구,588,2496,2,1008,4,227,305,437,-,-,2,489,-,-,-,-,-,-,1,200,2,-,152,-,2,102,118,33,-,-
"서울시",동대문구,624,5271,4,1641,12,883,278,361,-,-,7,1348,-,-,-,-,-,-,3,789,4,12,166,-,2,160,147,72,1,5
"서울시",중랑구,567,3372,3,1066,13,1016,269,576,-,-,2,314,-,-,-,-,-,-,1,259,-,-,162,-,1,45,116,96,-,-
"서울시",성북구,560,3581,1,980,6,457,269,360,1,-,8,1661,-,-,-,-,-,-,-,-,-,-,151,-,2,107,122,16,-,-
"서울시",강북구,477,2321,1,201,9,896,241,378,-,-,4,734,-,-,-,-,-,-,-,-,1,-,127,1,1,58,93,53,-,-
"서울시",도봉구,381,2588,1,381,4,592,176,89,-,-,5,723,1,148,-,-,-,-,2,375,1,-,105,-,4,280,82,-,-,-
"서울시",노원구,761,3555,3,1494,5,286,395,435,-,-,7,1113,-,-,-,-,-,-,-,-,3,-,198,-,4,188,146,39,-,-
"서울시",은평구,709,3502,2,984,9,546,338,342,-,-,5,906,-,-,1,368,-,-,1,171,1,-,194,-,2,84,156,101,-,-
"서울시",서대문구,446,3724,2,2378,3,116,216,257,-,-,5,713,-,-,-,-,-,-,-,-,2,7,126,-,3,227,89,26,-,-
"서울시",마포구,788,1013,-,-,5,282,415,65,1,-,3,326,-,-,-,-,-,-,-,-,3,-,201,-,3,248,157,92,-,-
"서울시",양천구,679,2788,3,1210,4,385,319,295,1,-,2,643,-,-,-,-,-,-,-,-,3,-,186,-,5,243,156,12,-,-
"서울시",강서구,953,5241,4,1436,19,1353,471,539,2,-,5,1016,-,-,-,-,-,-,1,163,3,-,246,-,8,524,194,210,-,-
"서울시",구로구,610,4725,2,1202,8,607,296,278,2,-,7,1879,1,405,-,-,-,-,1,167,1,-,174,-,2,109,116,78,-,-
"서울시",금천구,366,2076,1,174,4,339,171,237,-,-,4,656,-,-,-,-,-,-,1,216,-,-,108,-,4,409,73,45,-,-
"서울시",영등포구,830,5446,7,1910,9,810,409,350,11,-,9,1951,-,-,-,-,-,-,1,180,-,-,230,-,4,205,150,40,-,-
"서울시",동작구,605,2387,2,1492,4,198,289,245,-,-,2,296,-,-,-,-,-,-,-,-,2,-,172,-,2,98,132,58,-,-
"서울시",관악구,721,2216,1,289,10,871,359,297,3,-,2,397,-,-,-,-,-,-,-,-,1,-,202,-,4,198,139,164,-,-
"서울시",서초구,1495,3991,2,1369,14,1202,888,490,8,-,4,619,-,-,-,-,-,-,-,-,4,-,311,17,6,265,258,29,-,-
"서울시",강남구,2988,8183,4,3158,34,2153,1997,1365,7,1,6,812,-,-,-,-,-,-,-,-,11,5,529,38,10,621,390,30,-,-
"서울시",송파구,1263,6618,2,2809,22,1531,627,612,4,-,7,1006,-,-,-,-,-,-,1,201,4,-,333,-,8,433,255,26,-,-
"서울시",강동구,897,6325,3,2310,15,940,430,610,3,-,5,1639,-,-,-,-,-,-,-,-,3,9,237,-,10,704,191,113,-,-
