"동별(1)",2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"동별(1)",총 수급자,총 수급자,총 수급자,총 수급자,총 수급자,일반수급자,일반수급자,일반수급자,일반수급자,조건부 수급자,조건부 수급자,조건부 수급자,조건부 수급자,특례수급자,특례수급자,특례수급자,특례수급자,시설수급자,시설수급자,시설수급자,시설수급자,시설수급자
"동별(1)",가구 (가구),시설수 (개소),인원 (명),인원 (명),인원 (명),가구 (가구),인원 (명),인원 (명),인원 (명),가구 (가구),인원 (명),인원 (명),인원 (명),가구 (가구),인원 (명),인원 (명),인원 (명),시설수 (개소),가구 (가구),인원 (명),인원 (명),인원 (명)
"동별(1)",소계,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,소계,남자,여자
"합계",328533,599,444599,206130,238469,268840,340434,155253,185181,55129,87559,43688,43871,4564,6294,2851,3443,599,10312,10312,4338,5974
"본청",-,5,585,135,450,-,-,-,-,-,-,-,-,-,-,-,-,5,585,585,135,450
"종로구",4757,15,6106,3432,2674,3877,4476,2528,1948,735,974,613,361,145,155,108,47,15,501,501,183,318
"중구",5244,4,6414,3440,2974,4527,5383,2809,2574,657,876,555,321,60,72,38,34,4,83,83,38,45
"용산구",6883,10,8986,4675,4311,5684,6930,3530,3400,1027,1609,916,693,172,205,129,76,10,242,242,100,142
"성동구",8125,13,10736,5277,5459,6600,8057,3855,4202,1429,2316,1202,1114,96,124,62,62,13,239,239,158,81
"광진구",11028,19,14802,7005,7797,8899,11414,5330,6084,2077,3180,1612,1568,52,103,52,51,19,105,105,11,94
"동대문구",13381,28,16936,8651,8285,11194,13481,6865,6616,1828,2831,1524,1307,359,450,197,253,28,174,174,65,109
"중랑구",22043,45,30362,14361,16001,19237,24999,11812,13187,2663,4540,2296,2244,143,255,117,138,45,568,568,136,432
"성북구",13566,31,18523,8306,10217,10767,13476,5936,7540,2621,4418,2128,2290,178,236,113,123,31,393,393,129,264
"강북구",18932,34,25323,11508,13815,15380,19249,8544,10705,3241,5343,2670,2673,311,418,178,240,34,313,313,116,197
"도봉구",13144,51,18242,8288,9954,10662,13845,6260,7585,2323,3841,1816,2025,159,228,126,102,51,328,328,86,242
"노원구",23924,31,33170,13959,19211,19265,24953,10319,14634,4522,7356,3318,4038,137,233,99,134,31,628,628,223,405
"은평구",19199,35,27899,12640,15259,15374,19997,8587,11410,3514,5957,2755,3202,311,447,197,250,35,1498,1498,1101,397
"서대문구",9365,17,12539,5550,6989,7886,9953,4362,5591,1401,2222,1054,1168,78,97,47,50,17,267,267,87,180
"마포구",8976,11,12190,5334,6856,7111,9070,3820,5250,1734,2707,1314,1393,131,192,86,106,11,221,221,114,107
"양천구",14409,21,19732,8674,11058,12328,16140,7044,9096,1959,3131,1467,1664,122,198,76,122,21,263,263,87,176
"강서구",25088,38,34227,15305,18922,21043,27181,12069,15112,3618,5899,2718,3181,427,610,249,361,38,537,537,269,268
"구로구",12064,22,16746,7663,9083,10120,13163,6014,7149,1497,2578,1287,1291,447,611,251,360,22,394,394,111,283
"금천구",11210,26,14829,7017,7812,8718,10769,4959,5810,2437,3604,1903,1701,55,87,41,46,26,369,369,114,255
"영등포구",10319,24,12763,6945,5818,8211,9509,4962,4547,2006,2636,1656,980,102,131,60,71,24,487,487,267,220
"동작구",10397,19,13631,6213,7418,8521,10595,4678,5917,1814,2633,1371,1262,62,96,42,54,19,307,307,122,185
"관악구",20020,28,25535,12445,13090,15606,18984,9020,9964,4013,5710,3082,2628,401,510,230,280,28,331,331,113,218
"서초구",5793,6,8182,3660,4522,4903,6518,2862,3656,857,1485,675,810,33,43,18,25,6,136,136,105,31
"강남구",12114,13,16959,7353,9606,9955,12700,5402,7298,1980,3434,1716,1718,179,262,112,150,13,563,563,123,440
"송파구",14095,25,19824,9148,10676,11241,14804,6787,8017,2683,4413,2118,2295,171,232,89,143,25,375,375,154,221
"강동구",14457,28,19358,9146,10212,11731,14788,6899,7889,2493,3866,1922,1944,233,299,134,165,28,405,405,191,214
