"건강증진센터명","건강증진센터구분","소재지도로명주소","소재지지번주소","위도","경도","건강증진업무내용","운영시작시각","운영종료시각","휴무일정보","건물면적","의사수","간호사수","사회복지사수","영양사수","기타인력현황","기타이용안내","운영기관전화번호","운영기관명","관리기관전화번호","관리기관명","데이터기준일자","제공기관코드","제공기관명","작업일시"
"관악구정신건강복지센터","정신보건","서울특별시 관악구 관악로 145","서울특별시 관악구 봉천동 1570-1","37.47820977","126.9515032","중증정신질환관리, 아동청소년정신건강관리, 정신건강증진, 자살예방사업","09:00","18:00","토요일+일요일+공휴일","189.18","0","7","13","0","상담심리사(2)","","02-879-4911","서울특별시 관악구 보건소","02-879-7182","서울특별시 관악구청","2025-11-12","3200000","서울특별시 관악구","2026-01-01 14:51:00.0"
"중구정신건강복지센터","정신보건","서울특별시 중구 서소문로6길 16","서울특별시 중구 중림동 155-1","37.559432","126.9662595","중증 정신질환자 등록 관리사업, 생애주기정신건강증진사업, 재난심리지원, 자살예방사업 등","09:00","18:00","토+일+기타 법령이 정하는 공휴일","227.7","1","1","15","0","임상심리사(1)+작업치료사(1)","","02-2236-6606","국립중앙의료원","02-3396-6409","서울특별시 중구 보건소","2025-11-11","3010000","서울특별시 중구","2026-01-01 14:51:00.0"
"중랑구정신건강복지센터","정신보건","서울특별시 중랑구 봉화산로 190, 중랑구청 제2청사 5층","서울특별시 중랑구 신내동 665","37.60626485","127.0941598","중증정신질환자 등록 및 사례관리+아동청소년 정신건강사업+정신장애인 재활프로그램 운영+자살예방사업+정신건강상담 등","09:00","18:00","토+일+공휴일","434.97","1","1","16","0","","","02-3422-5921","서울특별시 서울의료원","02-2094-0852","서울특별시 중랑구 보건소","2025-08-25","3060000","서울특별시 중랑구","2026-01-01 14:51:00.0"
"금천구정신건강복지센터","정신보건","서울특별시 금천구 시흥대로123길 11","서울특별시 금천구 독산동 289-5","37.47021905","126.897019","중증정신질환자관리+아동청소년정신건강사업+알코올중독관리사업+자살위기대응사업","09:00","18:00","토+일+공휴일","429","1","3","13","0","3","","02-3281-9314","학교법인 고려대학교구로병원","02-2627-2692","서울특별시 금천구 보건소","2025-08-19","3170000","서울특별시 금천구","2026-01-01 14:51:00.0"
"용산구 정신건강복지센터","정신보건","서울특별시 용산구 백범로 329(25.5.~25.11. 센터 리모델링 공사로 녹사평대로 150(용산구보건소) 이전 운영)","","37.5389038","126.9650122","중증정신질환자 사례관리+자살 유족지원사업 +정신건강증진사업 등","09:00","18:00","토+일+공휴일","","0","5","8","","임상심리사(1)","","02-703-8340","","02-2199-8144","서울특별시 용산구 보건소","2025-08-14","3020000","서울특별시 용산구","2026-01-01 14:51:00.0"
"용산구 시민건강관리센터","건강증진","서울특별시 용산구 녹사평대로150","","37.53245265","126.9904783","대사증후군관리+건강상담+영양상담+운동상담","09:00","18:00","토+일+공휴일","","2","4","0","2","간호사(1)","","02-2199-8158","","02-2199-8269","서울특별시 용산구 보건소","2025-08-14","3020000","서울특별시 용산구","2026-01-01 14:51:00.0"
"성동구정신건강복지센터","정신보건","서울특별시 성동구 행당로 12","서울특별시 성동구 금호동1가 1828","37.55448954","127.0214619","정신건강증진, 중증정신질환자 관리","09:00","18:00","공휴일","176.78","1","2","9","","","","02-2298-1080","한양대학교병원","02-2298-7093","성동구보건소","2025-08-12","3030000","서울특별시 성동구","2026-01-01 14:51:00.0"
"건강관리센터","건강증진","서울특별시 서대문구 연희로242","서울특별시 서대문구 연희동 165-2","37.5786098","126.9362749","대사증후군관리","09:00","18:00","토+일+공휴일","46.8","1","2","0","2","","","02-330-8727","서대문구보건소","02-330-8630","서대문구보건소","2025-07-31","3120000","서울특별시 서대문구","2026-01-01 14:51:00.0"
"광진구정신건강복지센터","정신보건","서울특별시 광진구 긴고랑로 110, 4층","서울특별시 광진구 중곡동 125-11, 4층","37.55933773","127.0870912","중증정신질환자 등록 사례관리 및 재활프로그램운영+생애주기별 정신건강사업+정신건강상담+지역주민 심리지원","09:00","18:00","토+일+공휴일","309","1","3","14","","임상심리사(1)","","02-450-1895","멘토스병원","02-450-1934","서울특별시 광진구 보건소","2025-07-28","3040000","서울특별시 광진구","2026-01-01 14:51:00.0"
"은평구정신건강복지센터","정신보건","서울특별시 은평구 연서로 34길 11","서울특별시 은평구 불광동 130-2","37.62156914","126.9276195","정신건강 교육 및 홍보, 고위험군 발견 및 연계, 전문 상담 및 관리","09:00","18:00","법정 공휴일","186","1","4","9","","5","","02-356-8683","서울특별시 은평구 보건소","02-351-8682","서울특별시 은평구 보건소","2025-06-26","3110000","서울특별시 은평구","2026-01-01 14:51:00.0"
"정신건강복지센터","정신보건","서울특별시 종로구 성균관로15길 10","서울특별시 종로구 명륜1가 5-14","37.590054","126.9976147","정신건강증진사업","09:00","18:00","매주 토요일+일요일+공휴일","201.24","1","6","12","0","작업치료사(2)","방문상담시 사전예약","02-745-0199","정신건강복지센터","02-2148-3602","서울특별시 종로구 보건소","2025-06-23","3000000","서울특별시 종로구","2026-01-01 14:51:00.0"
"4권역 건강이랑서비스센터(구. 명륜건강증진센터)","건강증진","서울특별시 종로구 성균관로1길 6-3","서울특별시 종로구 명륜3가 147-1","37.5834055","126.9977661","고혈압, 당뇨 등 일차진료 및 처방","09:00","18:00","매주 토요일+일요일+공휴일","219.68","1","3","0","1","운동처방사(1)","검사 전날 밤 10시부터 금식 요망","02-2148-3735","명륜건강증진센터","02-2148-3735","서울특별시 종로구 보건소","2025-06-23","3000000","서울특별시 종로구","2026-01-01 14:51:00.0"
