district,Need_Index,rank
강북구,68.7125859078337,1
도봉구,64.04724797892635,2
관악구,62.96782683755067,3
노원구,60.881264648980284,4
금천구,58.59799156799441,5
서대문구,55.64666822036183,6
중랑구,54.49513733405921,7
은평구,52.105468336835024,8
강서구,50.83597203682388,9
동작구,50.83406009574813,10
종로구,50.495696351893415,11
구로구,50.44688008419886,12
광진구,49.83057886592448,13
강동구,47.54421717235644,14
성북구,44.132207496815994,15
송파구,43.052236092790984,16
양천구,39.3180313381337,17
성동구,37.74004225104,18
마포구,36.89912127573454,19
강남구,30.519095794953806,20
용산구,30.254233816090718,21
영등포구,29.49229731437578,22
중구,27.023789106138913,23
동대문구,26.923943737472875,24
서초구,15.76718350365594,25
