district,Supply_Index,rank
노원구,70.69116425087047,1
강남구,62.884109855028456,2
송파구,50.51416850180636,3
강서구,49.49516602605844,4
서초구,43.27064114821521,5
양천구,41.017718456049295,6
성북구,38.57590323786218,7
구로구,38.53799204531455,8
은평구,37.25727314540113,9
중랑구,36.71543551156637,10
영등포구,34.416951880941276,11
강동구,32.52395740914077,12
관악구,32.40036214305093,13
마포구,29.74024901508775,14
동작구,28.611834361827583,15
서대문구,27.919922647720718,16
도봉구,27.235163817355698,17
동대문구,25.666118833589728,18
성동구,24.149821381344395,19
종로구,23.700646630409814,20
강북구,22.99458457203307,21
광진구,19.004996989635043,22
중구,18.406595569147342,23
용산구,18.327098937517157,24
금천구,13.04711609584088,25
